index,tier,category,keyword
1,1,Chicken,butter chicken recipe
2,1,Chicken,chicken biryani recipe
3,1,Chicken,chicken shawarma recipe
4,1,Chicken,chicken tikka masala recipe
5,1,Chicken,chicken karahi recipe
6,1,Chicken,chicken 65 recipe
7,1,Chicken,chicken korma recipe
8,1,Chicken,chicken tandoori recipe
9,1,Chicken,chicken tikka recipe
10,1,Chicken,chicken malai tikka recipe
11,1,Chicken,chicken seekh kebab recipe
12,1,Chicken,chicken mandi recipe
13,1,Chicken,chicken curry recipe
14,1,Chicken,chicken jalfrezi recipe
15,1,Chicken,chicken haleem recipe
16,1,Chicken,chicken yakhni pulao recipe
17,1,Chicken,chicken samosa recipe
18,1,Chicken,chicken pakora recipe
19,1,Chicken,chicken shashlik recipe
20,1,Chicken,chicken chapli kebab recipe
21,1,Chicken,lemon chicken recipe
22,1,Chicken,grilled chicken marinade recipe
23,1,Chicken,one pot chicken rice recipe
24,1,Chicken,sticky chicken recipe
25,1,Chicken,chicken wrap recipe
26,1,Biryani & Rice,biryani recipe
27,1,Biryani & Rice,chicken biryani recipe
28,1,Biryani & Rice,lamb biryani recipe
29,1,Biryani & Rice,beef biryani recipe
30,1,Biryani & Rice,vegetable biryani recipe
31,1,Biryani & Rice,egg biryani recipe
32,1,Biryani & Rice,mutton biryani recipe
33,1,Biryani & Rice,sindhi biryani recipe
34,1,Biryani & Rice,kolkata biryani recipe
35,1,Biryani & Rice,hyderabadi biryani recipe
36,1,Biryani & Rice,mandi rice recipe
37,1,Biryani & Rice,kabsa recipe
38,1,Biryani & Rice,mutton pulao recipe
39,1,Biryani & Rice,tahari recipe
40,1,Biryani & Rice,zarda rice recipe
41,1,Lamb & Beef,lamb curry recipe
42,1,Lamb & Beef,lamb chops recipe
43,1,Lamb & Beef,lamb shank recipe
44,1,Lamb & Beef,lamb seekh kebab recipe
45,1,Lamb & Beef,lamb kofta recipe
46,1,Lamb & Beef,lamb nihari recipe
47,1,Lamb & Beef,lamb karahi recipe
48,1,Lamb & Beef,lamb biryani recipe
49,1,Lamb & Beef,lamb mandi recipe
50,1,Lamb & Beef,beef curry recipe
51,1,Lamb & Beef,beef biryani recipe
52,1,Lamb & Beef,beef kofta recipe
53,1,Lamb & Beef,beef nihari recipe
54,1,Lamb & Beef,beef shawarma recipe
55,1,Lamb & Beef,beef kebab recipe
56,1,Lamb & Beef,keema recipe
57,1,Lamb & Beef,keema matar recipe
58,1,Lamb & Beef,pasanda recipe
59,1,Lamb & Beef,roghan josh recipe
60,1,Lamb & Beef,bhuna gosht recipe
61,1,Middle Eastern,hummus recipe
62,1,Middle Eastern,falafel recipe
63,1,Middle Eastern,shawarma recipe
64,1,Middle Eastern,fattoush salad recipe
65,1,Middle Eastern,tabbouleh recipe
66,1,Middle Eastern,baba ganoush recipe
67,1,Middle Eastern,muttabal recipe
68,1,Middle Eastern,ful medames recipe
69,1,Middle Eastern,shakshuka recipe
70,1,Middle Eastern,mansaf recipe
71,1,Middle Eastern,musakhan recipe
72,1,Middle Eastern,maqluba recipe
73,1,Middle Eastern,kibbeh recipe
74,1,Middle Eastern,warak enab recipe
75,1,Middle Eastern,muhammara recipe
76,1,Snacks & Appetizers,samosa recipe
77,1,Snacks & Appetizers,spring roll recipe
78,1,Snacks & Appetizers,pakora recipe
79,1,Snacks & Appetizers,onion bhaji recipe
80,1,Snacks & Appetizers,chaat recipe
81,1,Snacks & Appetizers,aloo tikki recipe
82,1,Snacks & Appetizers,pani puri recipe
83,1,Snacks & Appetizers,dahi puri recipe
84,1,Snacks & Appetizers,chicken wings recipe
85,1,Snacks & Appetizers,potato wedges recipe
86,1,Snacks & Appetizers,spinach and feta pastry recipe
87,1,Snacks & Appetizers,stuffed mushrooms recipe
88,1,Snacks & Appetizers,cheese rolls recipe
89,1,Snacks & Appetizers,crispy calamari recipe
90,1,Snacks & Appetizers,shrimp tempura recipe
91,1,Desserts,baklava recipe
92,1,Desserts,kunafa recipe
93,1,Desserts,basbousa recipe
94,1,Desserts,gulab jamun recipe
95,1,Desserts,kheer recipe
96,1,Desserts,rice pudding recipe
97,1,Desserts,halva recipe
98,1,Desserts,sheer khurma recipe
99,1,Desserts,jalebi recipe
100,1,Desserts,ras malai recipe
101,1,Desserts,sohan halwa recipe
102,1,Desserts,carrot halwa recipe
103,1,Desserts,mochi ice cream recipe
104,1,Desserts,date and nut bars recipe
105,1,Desserts,churros recipe
106,1,Desserts,malpua recipe
107,1,Desserts,firni recipe
108,1,Desserts,shahi tukray recipe
109,1,Desserts,coconut ladoo recipe
110,1,Desserts,semolina cake recipe
111,1,Desserts,orange almond cake recipe
112,1,Desserts,pistachio ice cream recipe
113,1,Desserts,saffron ice cream recipe
114,1,Desserts,rose milk cake recipe
115,1,Desserts,chocolate date truffles recipe
116,2,Soups & Stews,lentil soup recipe
117,2,Soups & Stews,haleem recipe
118,2,Soups & Stews,shorba recipe
119,2,Soups & Stews,tomato soup recipe
120,2,Soups & Stews,chicken corn soup recipe
121,2,Soups & Stews,dal recipe
122,2,Soups & Stews,dal makhani recipe
123,2,Soups & Stews,chana masala recipe
124,2,Soups & Stews,dal tadka recipe
