site_name,url,status,date,listing_url_or_proof,notes
PairDish,https://pairdish.com,listed,2026-09-07,https://pairdish.com,seed row (the site itself); tracker smoke test
Active Search Results,https://www.activesearchresults.com/,submitted,2026-09-09,confirm page after POST /addwebsite.php (urladdedconfirm - Thank you page returned HTTP 200),free; no confirmation email required; base gmail used (plus-alias rejected)
Entireweb,https://www.entireweb.com/,submitted,2026-09-09,confirm clicked 2026-09-11 -> 'You're in the queue' page (zid=714dacb7f5b9); 'Thank you for your submission' email received,confirmation email sent to mabdulrahim+pairdish-entireweb@gmail.com - confirmation completed by job 2026-09-11
ShowMySites,https://www.showmysites.com/,listed,2026-09-09,"https://www.showmysites.com/pairdish/pairdish/ (HTTP 200, name on page)",listing live immediately; account pairdish / mabdulrahim+pairdish-sms@gmail.com; NOTE: plus-alias email must be curl --data-urlencode (raw -d turns + into space)
Huzzler,https://huzzler.so/,pending_review,2026-09-09,product created: huzzler.so/products/J1LyjvxNyF/pairdish (account verified),acct pairdish / mabdulrahim+pairdish-hz@gmail.com / PD!sh2026-Hz3k; FREE publish gated on Huzzler badge embed on pairdish.com homepage - user decision; embed code in OUTREACH.md; free queue = 72 days (expected live 2026-11-20)
GainWeb,https://www.gainweb.org/,submitted,2026-09-11,POST https://gainweb.org/submit.php -> 'Link submitted and awaiting approval' (msg block),free Regular (LINK_TYPE=2); update_session.php mimic first; category Food and Drink (913); apex host (www silently re-renders empty form); email +pairdish-gainweb
FreePRWebDirectory,https://www.freeprwebdirectory.com/,pending_review,2026-09-11,POST OK: 'Link submitted and awaiting approval'; email 'currently under review' from info@freeprwebdirectory.com,"free Regular ('normal'); category Cooking (297); 6-digit captcha via vision OCR (session-bound); review 2-3 months, not guaranteed; email +pairdish-fprwd"
Directory-Free,https://www.directory-free.com/,submitted,2026-09-11,'Thank you' page: 'Your site has been added to Directory-Free. Our editors will validate your request.',2-step add.php (categorie=Recreation/Food) -> insert.php; captcha randomImage3.php; email +pairdish-dirfree
Viesearch,https://viesearch.com/,listed,2026-09-16,"https://viesearch.com/28dlj/pairdish-food-pairing-tools-guides (HTTP 200, title 'PairDish - Food Pairing Tools & Guides - Viesearch', verified 2026-09-16)",listing 404s until editorial review; free queue ('Join the Waiting List'); email +pairdish-viesearch | went live 2026-09-14 per 'Your Viesearch listing is live' email; verified by curl 2026-09-16
Submission Web Directory,https://www.submissionwebdirectory.com/,submitted,2026-09-14,POST /submit.php -> 'Link submitted and awaiting approval' (msg block in response),Free Regular (LINK_TYPE=normal); phpLD captcha OCR'd via vision (5558); category Cooking (297); email +pairdish-dir5
Site Promotion Directory,https://www.sitepromotiondirectory.com/,submitted,2026-09-14,POST /submit.php -> 'Link submitted and awaiting approval',Free Regular; captcha OCR'd (496396); cat Cooking 297; sister network incl. usawebsitesdirectory (login-walled); email +pairdish-dir5
UK Internet Directory,https://www.ukinternetdirectory.net/,submitted,2026-09-14,POST /submit.php -> 'Link submitted and awaiting approval',Free Regular; captcha OCR'd (358968); cat Cooking 297; mentions sister freeinternetwebdirectory.com; email +pairdish-dir5
Promote Business Directory,https://www.promotebusinessdirectory.com/,submitted,2026-09-14,3-step JS wizard in browser -> msg: 'Link submitted and awaiting approval.',Free Regular (LINK_TYPE=2); no captcha; cat Cooking 297; review 9-12wk not guaranteed; email +pairdish-dir5
Best Sites Index,https://www.bestsitesindex.com/,submitted,2026-09-14,3-step JS wizard in browser -> msg: 'Link submitted and awaiting approval.',Free Regular (LINK_TYPE=2); step-3 captcha OCR'd via canvas+vision (YYdz); cat Cooking 297; email +pairdish-dir5
